ID,учебник,тематика,название,текст
0,Материаловедение,материаловедение,Методы исследования в материаловедении,"Как было сказано выше, в материаловедении одним из важных терминов является «структура». В практическом материаловедении под термином структура обычно подразумевается микроструктура материалов, изучаемая с помощью микроскопов (тип и относительное количество фаз, форма, размеры и взаимное расположение кристаллов этих фаз, частиц). В зависимости от размеров этих частиц и применяемых методов их выявления различают понятия: макроструктура, микроструктура, тонкая структура, наноструктура. Макроструктура – структура, видимая невооруженным глазом или с помощью лупы. Микроструктура – структура, наблюдаемая с помощью  оптического  микроскопа. Тонкая структура – структура, изучаемая с помощью рентгеноструктурного анализа, непосредственно наблюдается в электронном микроскопе. Наноструктура – объекты в материале, имеющие величину от долей нанометра до 100 нм. Некоторые из указанных характеристик структуры материалов можно изучать невооруженным глазом, другие – лишь с помощью микроскопа, соответственно, различают методы макроскопического и микроскопического анализа (макро- и микроанализа). Макроанализ – это анализ макроструктуры материалов, изучаемой невооруженным глазом или с помощью лупы (увеличение до 50 раз). Понятно, что такой метод исследования дает ограниченную информацию о структуре материала, однако, в силу его доступности и возможности одновременного изучения большой площади изделия, он широко применяется в заводской практике для контроля качества литых, кованых, сварных и термически обработанных заготовок и изделий. С его помощью выявляются дефекты, расположенные на поверхности изделий: это трещины различной природы, несплошности, неметаллические включения. Часто даже такой простой способ контроля позволяет сделать заключение о возможности дальнейшего использования изделия. Микроанализ – исследование структуры материалов с помощью микроскопов. Большие увеличения позволяют определять в этом случае размеры, форму, взаимное расположение и количество кристаллов различных фаз, т. е. микроструктуру материала. Наибольшее распространение имеют оптические микроскопы. Их полезное максимальное увеличение достигает примерно 1500 раз, а разрешающая способность (наименьшее расстояние между двумя точками, при котором они видны раздельно) 0,2 мкм (200 нм). Поскольку металлы в видимом свете непрозрачны, для исследования их структуры в металлографическом оптическом микроскопе используется метод отражения падающего светового потока от специально подготовленной поверхности образца. Для анализа субмикроструктуры (структуры внутри зерен), кроме световых микроскопов, используют электронные микроскопы с большой разрешающей способностью (увеличение до миллиона крат). Изображение формируется при помощи потока быстро летящих электронов. Электронные лучи дают возможность различать детали объекта, соответствующие по своим размерам межатомным расстояниям.        "
1,Материаловедение,материаловедение,-,"Надо отметить, что существуют еще материалы, которые сложно отнести к какой-либо группе. Это композиционные, биоматериалы, прогрессивные, полупроводники, материалы будущего и др. Композиты представляют собой комбинацию из двух (или большего числа) отдельных материалов, относящихся к различным классам веществ, перечисленным выше, т. е. металлов, керамики и полимеров. Целью создания композитов было стремление достичь такого сочетания свойств различных материалов, которые не могут быть получены для индивидуальных компонент, а также обеспечить оптимальное сочетание их характеристик. Известно большое количество различных композитов, которые получены при совмещении металлов, керамики и полимеров. Более того, некоторые природные материалы также представляют собой композиты, например, это дерево и кость. К композитам можно отнести: стеклопластики (стекло + пластик (эпоксидная или полиэфирная смола)), углепластики (полимеры, армированные углеродными волокнами) и др. Биоматериалы используют для создания имплантатов для тела человека, которые могут заменить больные или разрушенные ткани или органы. Материалы этого типа не должны выделять токсичных веществ и должны быть совместимыми с тканями человека (т. е. не должны вызывать реакции отторжения). Все перечисленные типы веществ – металлы, керамика, полимеры и полупроводники – могут быть использованы в качестве биоматериалов. В качестве примера можно привести некоторые биоматериалы, которые применяют для изготовления искусственных тазобедренных суставов. «Прогрессивные» материалы – материалы, которые предназначены для использования в высокотехнологичных изделиях («хай-тек»). Под высокими технологиями обычно имеются в виду устройства или изделия, работа которых основана на использовании сложных современных принципов. К числу таких изделий относится различное электронное оборудование, в частности цифровые видео-аудио камеры, CD/DVD проигрыватели, компьютеры, оптико-волоконные системы, а также космические спутники, изделия аэрокосмического назначения и ракетных технологий. Прогрессивные материалы представляют собой обычно типичные описанные выше вещества, но с улучшенными показателями свойств, а также и новые материалы, обладающие выдающимися характеристиками. Эти материалы могут быть металлами, керамикой или полимерами, однако их стоимость обычно очень высока. Полупроводники по электрическим свойствам занимают промежуточное положение между электропроводящими материалами (металлами и металлическими сплавами) и изоляторами (керамикой и полимерами). Создание полупроводниковых материалов сделало возможным разработку интегральных систем, которые произвели революцию в электронике и компьютерной технике (даже если не упоминать изменения в нашей жизни) в течение трех последних десятилетий. Материалы будущего. «Умными» (или интеллектуальными) материалами называют группу новых искусственно разрабатываемых веществ, которые оказывают существенное влияние на многие современные технологии. Определение «умные» означает, что эти материалы способны чувствовать изменения в окружающей среде и отзываться на эти изменения заранее определенным образом – качество, присущее живым организмам. Концепция «умных» материалов также была распространена на сложные системы, построенные как из «умных», так и традиционных веществ. В качестве примера «умных» устройств можно привести систему, используемую в вертолетах для того, чтобы снизить шум в кабине, создаваемый при вращении лопастей. Пьезоэлектрические датчики, встроенные в лопасти, отслеживают напряжения и деформации; сигнал передается от этих датчиков к исполнительному механизму, который с помощью компьютера генерирует «антишум», гасящий звук от работы винтов вертолета. Несмотря на то, что за последние несколько лет был достигнут огромный прогресс в области материаловедения и технологии применения материалов, все же остается необходимость в создании еще более совершенных и специализированных материалов, а также в оценке взаимосвязей между производством таких материалов и его влиянием на окружающую среду."
2,Материаловедение,материаловедение,Агрегатные состояния вещества,"Все вещества (за некоторым исключением) могут существовать в трех агрегатных состояниях. Так, вода при нормальном давлении и при температуре 0°С кристаллизуется в лед, а при 100°С кипит и превращается в пар.
Газообразное состояние вещества (газ) – агрегатное состояние вещества, в котором его частицы не связаны или весьма слабо связаны силами взаимодействия. Молекулы газов находятся на больших расстояниях друг от друга, поэтому газы имеют большую сжимаемость. Их молекулы находятся в постоянном хаотическом движении, что объясняет способность газов равномерно заполнять весь предоставленный объем, приобретая объем и форму сосуда, в котором они находятся.
Прямое превращение вещества из твердого в газообразное состояние (без промежуточной жидкой фазы) называется сублимацией.
Жидкое состояние вещества – агрегатное состояние вещества, обладающее свойством течь и принимать форму сосуда, в котором оно находится.
По своим свойствам занимают промежуточное положение между газами и твердыми веществами. Чем выше температура, тем больше свойства жидкостей приближаются к свойствам газов (принимают форму сосуда, в котором находятся, могут непрерывно переходить в газ), и, наоборот, чем ниже температура, тем больше проявляются те свойства жидкостей, которые приближают их к твердым веществам (они сохраняют свой объем, образуют поверхность, обладают определенной прочностью на разрыв). В то же время они обладают рядом только им присущих особенностей, из которых наиболее характерная – текучесть. Жидкости обычно не имеют собственной формы, а приобретают форму сосуда, в котором находятся; только в очень небольших количествах они способны сохранять форму капли. В отличие от газов жидкости при данной температуре занимают совершенно определенный объем. Это объясняется наличием заметных сил взаимного притяжения отдельных молекул жидкости. Молекулы в жидкостях размещаются значительно плотнее, чем в газах, этим и объясняется очень малая сжимаемость всех жидкостей.
По мере охлаждения движение молекул жидкости замедляется, затем они фиксируются в определенных положениях, а жидкость превращается в твердое тело.
Твердое состояние вещества – агрегатное состояние вещества, характеризующееся стабильностью формы. Вещества в твердом состоянии называют твердыми веществами.
Твердые вещества по химическому составу делятся на одно- (простые) и двух- (и более) компонентные сплавы, а в зависимости от внутреннего строения все твердые вещества делятся на кристаллические и аморфные.
Кристаллическое строение вещества – строение вещества в твердом состоянии, для которого характерно периодическое трехмерное расположение атомов (молекул). Вещества с кристаллическим строением называют кристаллическими веществами. Кристаллические вещества могут существовать в виде монокристаллов (один кристалл) и поликристаллов (много кристаллов).
Кристаллы – состояние твердых веществ, приобретающих при равновесных условиях образования естественную форму правильных многогранников, отражающую симметрию атомного строения, и обладающих анизотропией физических свойств. Крупные одиночные кристаллы называются монокристаллами.
Анизотропия – различие значений свойств (деформационных, электрических, магнитных и др.) в материале по разным направлениям.
Поликристаллы – агрегаты из большого числа отдельных беспорядочно ориентированных мелких кристаллов (кристаллитов), связанных между собой силами сцепления, которые обычно слабее внутрикристаллических. Большинство твердых материалов являются поликристаллами (металлы и сплавы, многие материалы из горных пород).
Твердые вещества построены из молекул, атомов и ионов, прочно связанных между собой. В твердых телах порядок расположения атомов определенный, закономерный, силы взаимного притяжения и отталкивания уравновешены, и твердое тело сохраняет свою форму.
Частицы твердого вещества не могут свободно перемещаться, они сохраняют взаимное расположение, совершая колебания около центров равновесия, поэтому для изменения объема и формы твердого вещества требуется усилие.
Аморфные вещества представляют собой беспорядочно расположенные молекулы. В отличие от кристаллических веществ, имеющих вполне определенную температуру плавления, аморфные вещества плавятся в широком диапазоне температур. При нагревании они постепенно размягчаются, начинают растекаться и становятся жидкими. В зависимости от условий, при которых происходит переход из расплавленного состояния в твердое, одно и то же вещество можно получить как в кристаллическом, так и в аморфном состоянии.
В природе аморфное строение вещества менее распространено, чем кристаллические. Аморфное строение характерно, например, для опала, обсидиана, янтаря, смолы, битума, полимеров.
Особым видом состояния твердых веществ с аморфным строением является стеклообразное состояние.
Стеклообразное состояние вещества – агрегатное состояние вещества с аморфным строением, формирующееся при затвердевании переохлажденного расплава и обладающее в результате постепенного увеличения вязкости механическими свойствами твердых тел. Переход из стеклообразного состояния в расплав и из расплава в стеклообразное состояние характеризуется температурным интервалом, а его обратимость является особенностью, которая отличает стеклообразное состояние от других аморфных.
В стеклообразном состоянии может находиться значительное число простых веществ (S, Se, As, Р), окислов (В2О5, SiО2, GeO2), водных растворов Н2О2, H2SO4, H3PO4 и др. Многие из этих веществ составляют основу сложных по составу неорганических стекол.
Плазма – частично или полностью ионизированный газ, в котором концентрации положительных и отрицательных зарядов практически равны. Ионизация газа может быть вызвана температурным воздействием, электромагнитным излучением или бомбардировкой заряженными частицами.
                                        "
3,Материаловедение,материаловедение,Кристаллическая структура,"Для описания атомно-кристаллической структуры используют понятие кристаллической решетки, являющейся воображаемой пространственной сеткой с ионами (атомами) в узлах. Атомы, ионы или молекулы, из которых состоит кристалл, закономерно расположены в пространстве. Располагаясь строго периодически в трех измерениях, они образуют кристаллическую (пространственную) решетку. Элементарная ячейка кристаллической решетки – это минимальный по объему параллелепипед, перемещая который вдоль его ребер, можно воспроизвести всю кристаллическую решетку. Кристаллическая решетка – это мысленно проведенные в пространстве прямые линии, соединяющие ближайшие атомы и проходящие через их центры, относительно которых они совершают колебательные движения. В кристалле элементарные частицы (атомы, ионы) сближены до соприкосновения. Для упрощения пространственное изображение принято заменять схемами, где центры тяжести частиц представлены точками. В точках пересечения прямых линий располагаются атомы; они называются узлами решетки. Расстояния а, b и с между центрами атомов, находящихся в соседних узлах решетки, называют параметрами, или периодами решетки. Для однозначного описания элементарной ячейки кристаллической решетки необходимо знать величины параметров а, b, с и углов между ними α, β, γ. В 1848 г. французский ученый Браве показал, что изученные трансляционные структуры и элементы симметрии позволяют выделить 14 типов кристаллических решеток. Решетки Браве подразделяются на семь систем, называемых кристаллографическими сингониями, в соответствии с семью различными типами элементарных ячеек: триклинной, моноклинной, ромбической, тетрагональной, тригональной, кубической и гексагональной. Эти элементарные ячейки могут быть как примитивными, так и сложными. Из 14 решеток Браве 7 являются простыми, а 7 являются сложными. В большинстве случаев у реальных металлов решетки более сложные, так как элементарные частицы могут находиться не только в узлах, но и на их гранях и в центре решетки. На рис. 4.3 показаны три типа элементарных ячеек кристаллических решеток, наиболее характерных для металлов: кубическая объемно-центрированная (ОЦК), кубическая гранецентрированная (ГЦК), гексагональная плотноупакованная (ГПУ). В кубической объемно-центрированной кристаллической решетке (ОЦК) атомы расположены по вершинам элементарной ячейки и один в ее центре. В кубической гранецентрированной кристаллической решетке (ГЦК) атомы расположены по вершинам элементарной ячейки и в центрах ее граней. Третий тип элементарных ячеек кристаллических решеток - гексагональная плотноупакованная (ГПУ), представляющая собой шестигранную призму, в которой атомы расположены в три слоя."
4,Материаловедение,материаловедение,-,"Обычно кусок металла состоит из скопления большого числа маленьких кристаллов неправильной формы, называемых зернами. Кристаллические решетки в отдельных зернах ориентированы относительно друг друга случайным образом (в некоторых случаях, например, при холодной прокатке, наблюдается преимущественная ориентировка зерен – текстура). Поверхности раздела зерен называются границами зерен. Такой кусок металла является поликристаллом. При определенных условиях, обычно при очень медленном контролируемом отводе тепла при кристаллизации (затвердевании металла), может быть получен кусок металла, представляющий собой один кристалл, его называют монокристаллом. Кристаллическая решетка, в которой отсутствуют нарушения сплошности, и все узлы заполнены однородными атомами, называется идеальной кристаллической решеткой металла. Встречающиеся в природе кристаллы, как монокристаллы, так и зерна в поликристаллах, никогда не обладают такой строгой периодичностью в расположении атомов, о которой говорилось выше, т. е. не являются «идеальными» кристаллами. В действительности «реальные» кристаллы содержат те или иные несовершенства (дефекты) кристаллического строения. Дефекты идеальной структуры твердых тел оказывают существенное влияние на их свойства. Без использования представлений о дефектах реальных кристаллов невозможно изучить явления пластической деформации, упрочнение и разрушение сплавов и др. Дефекты кристаллического строения удобно классифицировать по их геометрической форме и размерам: нульмерные (точечные), одномерные (линейные), двумерные (поверхностные) и трехмерные (объемные).  Точечными дефектами называются такие нарушения периодичности кристаллической решетки, размеры которых во всех измерениях сопоставимы с размерами атома. Вакансии – свободные места в узлах кристаллической решетки.  Дивакансия – свободные два узла решетки рядом. Межузельные атомы данного металла – атомы, сместившиеся из узлов кристаллической решетки в межузельные промежутки. Примесные атомы замещения – атомы, по диаметру соизмеримые с атомами данного металла, поэтому замещают атомы основного металла. Примесные атомы внедрения, имеющие очень малые размеры и поэтому внедряющиеся в наиболее свободные места решетки (поры или междоузлия) аналогично межузельным атомам. Дефект Френкеля – при переходе атома из равновесного положения (узла) в междоузлие возникает пара «вакансия – межузельный атом». Дефект Шоттки – если атом из своего узла выходит на поверхность кристалла. Вышедший из равновесного положения атом называют дислоцированным, а оставшееся пустое место в узле решетки – вакансией. Линейные дефекты в кристаллах характеризуются тем, что их поперечные размеры не превышают нескольких межатомных расстояний, а длина может достигать размера кристалла. К линейным дефектам относятся дислокации – линии, вдоль и вблизи которых нарушено правильное периодическое расположение атомных плоскостей кристалла. Различают линейные (или краевые) и винтовые (или спиральные) дислокации. Краевая дислокация представляет собой локализованное искажение атомной плоскости за счет введения в нее дополнительной атомной полуплоскости – экстраплоскости, расположенной перпендикулярно плоскости чертежа. Условно подразделяют краевые дислокации на положительные и отрицательные. Положительная дислокация соответствует случаю, когда сверху есть лишняя атомная полуплоскость. Соответственно, в верхней половине кристалла действуют сжимающие напряжения, в нижней – растягивающие. Отрицательная дислокация соответствует случаю, когда верхняя половина кристалла растянута, нижняя сжата. Нетрудно заметить, что эти две дислокации различаются лишь поворотом на 180°. Поэтому не имеет смысла говорить о знаке дислокации, если эта дислокация одна: знак существен, если рядом есть другая дислокация. Силы упругого взаимодействия между дислокациями зависят от знака дислокации: одноименные дислокации отталкиваются, разноименные притягиваются. Второй разновидностью линейных дефектов кристаллической решетки является винтовая дислокация. Она формируется и перемещается при сдвиге одной части кристалла относительно другой по какой-нибудь плоскости под действием внешних сдвиговых сил Р. На схеме сдвиг распространился от переднего края кристалла до линии АВ, параллельной силам Р. При этом правый край кристалла сместился вниз на параметр решетки. При дальнейшем действии этих сил АВ продолжит смещение к задней стенке с кристалла – А`В`. Вокруг текущих положений кристаллографические атомные плоскости-поверхности оказываются изогнутыми. Если проследить ход этих плоскостей от левой части кристалла к правой вокруг АВ сверху вниз, то окажется, что все они, т. е. атомные слои плоскости, как бы представляют одну винтовую поверхность, закрученную вокруг АВ по часовой стрелке в данном случае. Сама линия АВ, вокруг которой формируются геометрические и энергетические искажения в кристаллической решетке, и является винтовой дислокацией. Одним из параметров, характеризующих поведение дислокации во время пластической деформации, является вектор Бюргерса. Он показывает степень искажения кристаллической решетки вокруг дислокации. Упругая энергия вокруг дислокации пропорциональна квадрату вектора Бюргерса. Чтобы определить вектор Бюргерса, надо вокруг дислокации построить контур Бюргерса. Протяженность сторон контура выбирается произвольно. Например, контур ABCD вокруг краевой дислокации по вертикали содержит четыре параметра решетки, по горизонтали – над дислокацией тоже четыре параметра, а под ней – три. Отрезок АЕ, по модулю равный параметру решетки, принято считать вектором Бюргерса. Он перпендикулярен линии дислокации. Дислокации образуются уже при кристаллизации металлов, а также в ходе пластической деформации и фазовых превращений. Плотность дислокаций может достигать большой величины. Плотность дислокаций – это суммарная протяженность линий дислокаций в единице объема кристалла. Таким образом, и винтовая, и краевая дислокации – это границы между сдвинутой и несдвинутой частями кристалла, причем краевая дислокация перпендикулярна вектору сдвига, а винтовая – параллельна ему. В реальном кристалле область сдвига может быть ограничена более сложной, в общем случае криволинейной или смешанной дислокацией. Под поверхностными дефектами понимают такие нарушения в кристаллической решетке, которые обладают большой протяженностью в двух измерениях и протяженностью лишь в нескольких межатомных расстояниях в третьем измерении. Ими могут быть границы зерен, границы фрагментов внутри зерна, границы блоков внутри фрагментов и др. Соседние зерна по своему кристаллическому строению имеют неодинаковую ориентировку решеток. Блоки повернуты друг по отношению к другу на угол от нескольких секунд до нескольких минут. Граница между зернами представляет собой узкую переходную зону шириной 5⁻¹° атомных расстояний. Неупорядоченное строение переходного слоя усугубляется скоплением в этой зоне дислокаций и повышенной концентрацией примесей. Вследствие того, что границы зерен препятствуют перемещению дислокаций и являются местом повышенной концентрации примесей, они оказывают существенное влияние на механические свойства металла. К объемным дефектам относятся такие, которые имеют размеры в трех измерениях: поры, газовые пузыри, неметаллические включения, микротрещины и т. д. Эти дефекты снижают прочность металла. Порами называют заполненные газом полости в швах, имеющие округлую, вытянутую или более сложную форму. Газовые пузыри в литом металле образуются вследствие выделения газов (оксидов углерода, азота, водорода, монооксида кремния) в период кристаллизации, поскольку их растворимость в твердом металле значительно меньше, чем в жидком. Пузыри газа, возникающие в объеме металла, всплывают или частично фиксируются в затвердевающем металле. Неметаллические включения – химические соединения металлов с неметаллами, находящиеся в стали и сплавах в виде отдельных фаз."
5,Материаловедение,материаловедение,Кристаллизация металлов,"В зависимости от внешних условий (температуры и давления) любая система может находиться в трех агрегатных состояниях – твердом, жидком и газообразном. Переход из одного агрегатного состояния в другое происходит при определенных условиях – температуре и давлении. При атмосферном давлении, которое характерно для большинства производственных процессов, основным параметром является температура. При переходе из жидкого состояния в твердое при понижении температуры образуется кристаллическая решетка, кристаллы. Такой процесс называется кристаллизацией. Чем объяснить, что одно и то же вещество при одних условиях имеет жидкое состояние, а при других твердое? В природе все процессы идут самопроизвольно, реагируя на внешние изменения. Если взять за пример воду: летом это жидкость, зимой лед и снег, при жаре вода начинает испаряться, образуя пар. Значит, при определенных условиях данному веществу энергетически более выгодно то или иное агрегатное состояние. Всякая система стремится к минимуму затрачиваемой энергии. Любой самопроизвольно текущий процесс идет только в том случае, если новое состояние более устойчиво, т. е. обладает меньшим запасом свободной энергии. Например, шарик  стремится скатиться вниз по наклонной плоскости из положения 1 в положение 2, понизив при этом свою свободную энергию. Естественно, что самопроизвольное возвращение шарика вверх по наклонной плоскости невозможно, так как при этом произойдет увеличение его свободной энергии. Шарик 1 на рис. 5.1, б находится в неустойчивом положении и при изменения внешних условий может занять положение 2 или 3. Так же ведет себя вода при 0 °С: она находится в кашеобразном виде (жидкость вместе с кристалликами льда или снега). Кристаллики то появляются, то плавятся, но ни один из этих процессов не доходит до конца, пока температура остается неизменной 0 °С. Но если температура снизится или повысится, процесс (кристаллизации или плавления соответственно) пойдет до конца. С изменением внешних условий, например температуры, свободная энергия системы изменяется по сложному закону, но различно для жидкого и кристаллического состояний. Схематически характер изменения свободной энергии жидкого и твердого состояний с температурой показан на рис. 5.2. Свободной энергией является такая составляющая внутренней энергии, которая в определенных условиях может быть превращена в работу: F = U – TS, где F -свободная энергия; U – полная внутренняя энергия системы; Т – температура; S – энтропия. Выше температуры Тs меньшей свободной энергией обладает вещество в жидком состоянии, ниже Ts – вещество в твердом состоянии. Следовательно, выше Ts вещество должно находиться в жидком состоянии, а ниже Ts – в твердом, кристаллическом. Очевидно, что при температуре равной Ts свободные энергии жидкого и твердого состояний равны, металл в обоих состояниях находится в равновесии. Эта температура Ts и есть равновесная или теоретическая температура кристаллизации. Однако, при TsFж = Fкр, и процесс кристаллизации не может идти, так как при равенстве свободных энергий обеих фаз плавление (кристаллизация) не будут сопровождаться уменьшением свободной энергии. Для начала кристаллизации необходимо, чтобы процесс был выгоден системе и сопровождался уменьшением свободной энергии системы. Из кривых видно, что это возможно только тогда, когда жидкость будет охлаждена ниже точки Ts. Самопроизвольная кристаллизация начинается только при некотором переохлаждении относительно теоретической температуры кристаллизации. Разность между теоретической и реальной температурой кристаллизации Ts – Tр = ΔT называется степенью переохлаждения. Процесс перехода металла из жидкого состояния в кристаллическое можно изобразить кривыми в координатах время – температура. При медленном охлаждении, соответствующем кривой υ1, степень переохлаждения невелика и кристаллизация протекает при температуре, близкой к равновесной. Горизонтальная площадка на термической кривой объясняется выделением скрытой теплоты кристаллизации, которая компенсирует отвод тепла. С ростом скорости охлаждения (кривые υ2, υ3) степень переохлаждения растет, и процесс кристаллизации протекает при все более понижающейся температуре. Кроме скорости охлаждения степень переохлаждения зависит от чистоты металла. Чем чище металл, тем выше степень переохлаждения. У чистых металлов степень переохлаждения может достигать сотен градусов, но обычно при изготовлении отливок из металлов технической чистоты и сплавов она не превышает 30–40 °С. Процесс кристаллизации состоит из двух элементарных процессов. Первый процесс при понижении температуры в жидком металле заключается в образовании кристалликов – центры кристаллизации или зародыши. Второй процесс состоит в росте кристаллов из этих центров. Для начала их роста необходимо уменьшение свободной энергии металла, в противном случае зародыш растворяется. Модель кристаллизации металла в первые секунды охлаждения представлена схемой процесса кристаллизации. По мере развития кристаллизации в нем участвуют все большее и большее число кристаллов. Поэтому процесс вначале ускоряется, пока в какой-то момент взаимное столкновение растущих кристаллов начинает заметно препятствовать их росту. Рост кристаллов замедляется еще и потому, что количество жидкости, в которой образуются новые кристаллы, становится все меньше. В процессе кристаллизации, пока кристалл окружен жидкостью, он часто имеет правильную форму, но при столкновении и срастании кристаллов их правильная форма нарушается. Внешняя форма кристалла оказывается зависимой от условий соприкосновения растущих кристаллов. Вот почему кристаллы металла – зерна (кристаллиты) не имеют правильной формы. Реально протекающий процесс кристаллизации усложняется действием различных факторов. Если на боковой поверхности растущего кристалла возникнет бугорок, то кристалл приобретает способность расти и в боковом направлении. В результате образуется древовидный кристалл, так называемый дендрит. Дендритное строение типично для литого металла. Дендрит состоит из ствола (ось первого порядка), от которого идут ветви (оси второго и третьего порядков). Чем быстрее было охлаждение при кристаллизации, тем меньше размеры (высота) дендрита и меньше расстояния между ветвями второго порядка. Если условия благоприятны, охлаждение медленное, то могут вырасти огромного размера дендриты. В обычных слитках массой в сотни килограммов или несколько тонн, дендриты имеют размеры несколько десятков миллиметров и меньше. Различные сочетания факторов, влияющие на кристаллизацию, приводят к своеобразной структуре стальных слитков. Типичная структура слитка состоит из трех основных зон . Первая зона – наружная мелкозернистая корка, состоящая из дезориентированных мелких кристаллов – дендритов. При первом соприкосновении со стенками изложницы в тонком прилегающем слое жидкого металла возникает резкий градиент температур и, как следствие, явление переохлаждения, ведущее к образованию большого количества центров кристаллизации. В результате корка получает мелкозернистое строение. Вторая зона – зона столбчатых кристаллов. После образования самой корки условия теплоотвода меняются, перепад температур в прилегающем слое жидкого металла резко уменьшается и, следовательно, уменьшается степень переохлаждения стали. В результате, из небольшого числа центров кристаллизации начинают расти нормально ориентированные к поверхности корки (т. е. в направлении отвода тепла) столбчатые кристаллы. Третья зона слитка – зона равноосных кристаллов. В центре слитка уже нет определенной направленности отдачи тепла. Температура застывающего металла успевает почти уравняться в различных точках, и жидкость обращается как бы в кашеобразное состояние вследствие образования в различных ее точках зачатков кристаллов. В результате этого процесса образуется равноосная структура. В верхней части слитка образуется усадочная раковина, которая подлежит отрезке и переплавке, так как металл более рыхлый."
